858,肉夹馍,快餐便当，肉夹馍，快餐，简餐，早餐
866,葱油饼,快餐便当，葱油饼，快餐，简餐，面点，早餐
874,烧饼,快餐便当，烧饼，快餐，简餐，面点，早餐
882,其他快餐,快餐便当，快餐，简餐
890,瓦罐汤,快餐便当，瓦罐，瓦罐汤，快餐，简餐
898,闽南咸饭,快餐便当，闽南咸饭，快餐，简餐，地方小吃
906,沙茶面,快餐便当，沙茶面，快餐，简餐，面馆，粉面
914,北京炸酱面,快餐便当，炸酱面，北京炸酱面，老北京炸酱面，快餐，简餐，面馆，粉面
922,羊杂割,快餐便当，羊杂割，羊杂碎，快餐，简餐
930,泡馍,快餐便当，泡馍，快餐，简餐，面点
938,糁汤,快餐便当，糁汤，快餐，简餐
946,甏肉干饭,快餐便当，甏肉干饭，快餐，简餐，地方小吃
954,朝天锅,快餐便当，朝天锅，快餐，简餐
218,烧烤,小吃夜宵，烧烤，烤肉，宵夜，夜宵
236,小龙虾,小吃夜宵，小龙虾，夜宵，宵夜
962,花甲,小吃夜宵，花甲，小吃，夜宵，宵夜
970,章鱼小丸子,小吃夜宵，章鱼小丸子，章鱼烧，小吃，下午茶，夜宵，宵夜
234,炸鸡炸串,小吃夜宵，炸鸡炸串，小吃，下午茶，夜宵，宵夜
978,其他小吃,小吃夜宵，小吃，夜宵
986,钵钵鸡,小吃夜宵，钵钵鸡，小吃，夜宵，地方小吃，宵夜
994,老妈兔头,小吃夜宵，老妈兔头，小吃，夜宵，地方小吃，下午茶，宵夜，兔头
1002,鸡架,小吃夜宵，鸡架，小吃，夜宵，下午茶，宵夜
1010,锅巴菜,小吃夜宵，锅巴菜，小吃，夜宵，宵夜
1018,卤煮火烧,小吃夜宵，卤煮火烧，小吃，夜宵，地方小吃，宵夜
1026,糖葫芦,小吃夜宵，糖葫芦，冰糖葫芦，小吃，夜宵，下午茶
1034,烤冷面,小吃夜宵，烤冷面，小吃，夜宵，下午茶，宵夜
1250,小火锅,香锅火锅，小火锅，火锅
1258,串串香,香锅火锅，串串，串串香，火锅
1266,羊蝎子,香锅火锅，羊蝎子，火锅
1274,川渝火锅,重庆火锅，四川火锅，川渝火锅，火锅
1282,焖锅,香锅火锅，焖锅
1290,港式火锅,香锅火锅，港式火锅，打边炉，火锅
1298,鱼火锅,香锅火锅，鱼火锅，火锅
1306,铜锅涮肉,香锅火锅，铜锅涮肉，北京火锅，老北京涮肉，老北京火锅，火锅
1314,牛肉火锅,香锅火锅，牛肉火锅，火锅
1322,麻辣香锅,香锅火锅，麻辣香锅，香锅，香锅砂锅
1330,干锅,香锅火锅，干锅
1338,鸡公煲,香锅火锅，鸡公煲
1346,砂锅,香锅火锅，砂锅，香锅砂锅
1354,烤鱼,香锅火锅，烤鱼
1362,其他香锅火锅,香锅火锅
1042,披萨,异国料理，披萨，比萨，匹萨，西餐，简餐，夜宵，宵夜
1050,意面,异国料理，意面，意大利面，西餐，简餐
1058,沙拉,异国料理，沙拉，轻食，色拉，蔬菜，简餐，减肥，减肥餐，瘦身，减脂，低脂，瘦身餐
1066,三明治,异国料理，三明治，简餐，早餐
1074,泰国菜,异国料理，泰国，泰餐，泰国菜
1082,印度菜,异国料理，印度，印度菜
1090,新加坡菜,异国料理，新加坡，新加坡菜
1098,越南菜,异国料理，越南，越南菜
1106,马来西亚菜,异国料理，马来西亚，马来西亚菜
1114,日本料理,异国料理，日本料理，怀石料理，日料，日本菜，日式料理，日式，日本，日韩料理，日韩，料理
1122,日式简餐,异国料理，丼，定食，日料，日本料理，日式料理，日式，日本，简餐，日韩料理，日韩，料理
1130,日式烧烤,异国料理，日式烧烤，日本烧烤，日本料理，日料，日式料理，日式，日本，烧烤，烤肉，日韩料理，日韩，料理
