laotansuancainiuroumian	老坛酸菜牛肉面:656:true	老谭酸菜牛肉面:1:true	
dekeshijikuai	德克士鸡块:507:true	
douhua	豆花:21145:true	都花:44:false	dou花:1:false	
xiaoguodoufufan	小锅豆腐饭:53:true	
xianzhuli	鲜竹沥:114:true	
tiaopi	苕皮:408:true	挑皮:21:false	
zhadapai	炸大排:95:true	
honglvdeng	红绿灯:134:true	紅綠燈:1:true	
hongdounuomi	红豆糯米:28:true	
lanrenliangpi	懒人凉皮:32:true	
huanggualapi	黄瓜拉皮:36:true	
jichibaofan	鸡翅包饭:19747:true	鸡翅煲饭:24:true	雞翅包飯:18:true	鸡翅饱饭:9:true	鸡吃包饭:2:true	忌吃饱饭:1:false	
conghuadanbing	葱花蛋饼:50:true	
zhongshuijiao	钟水饺:1226:true	种水饺:2:false	中水饺:1:true	锺水饺:1:true	
baiguazi	白瓜子:49:true	白瓜籽:1:true	
hanbaojitui	汉堡鸡腿:34:true	汗堡鸡腿:1:true	汗宝鸡腿:1:true	
luoleyimian	罗勒意面:46:true	
egaodangao	恶搞蛋糕:193:true	
suancaiyu heiyu	酸菜鱼 黑鱼:30:true	
luobuwanzi	萝卜丸子:141:true	罗卜丸子:1:true	
youmenjianjiao	油焖尖椒:169:true	油闷尖椒:14:true	
chaosuanzhou	炒酸粥:28:true	
hongmeisuruangao	红霉素软膏:730:true	
huochetou	火车头:585:true	火車頭:5:true	
haoping	好评:40:true	
liangbanzhuer	凉拌猪耳:73:true	凉拌猪儿:2:true	凉办猪耳:1:true	
niutou	牛头:111:true	牛頭:1:true	
lajimixian	辣鸡米线:75:true	垃圾米线:1:true	
gutang	骨汤:2156:true	古唐:11:false	菇汤:9:true	蛊汤:7:false	古塘:6:false	骨烫:5:false	古汤:5:false	古糖:2:false	顾唐:1:false	谷汤:1:false	
yimianshala	意面沙拉:111:true	
chaoganer	炒肝儿:58:true	
xiangganglaodangao	香港老蛋糕:46:true	香港佬蛋糕:1:false	
lazijipaomian	辣子鸡泡面:45:true	
fenglizhi	凤梨汁:97:true	鳳梨汁:1:true	
niutang	牛汤:127:true	牛糖:6:false	牛堂:5:false	牛烫:2:false	牛塘:1:false	
xianyaxue	鲜鸭血:39:true	
ningzhiyuan	宁职院:88:true	
yuxiangrousimian	鱼香肉丝面:140:true	
kongdiao	空调:52:true	
jicaixianrou	荠菜鲜肉:27:true	
lamesuanmifansuancaiyu	辣么酸米饭酸菜鱼:64:true	
zaoji	糟鸡:28:true	枣鸡:1:false	噪鸡:1:false	
liyu	鲤鱼:1163:true	李渔:67:false	礼遇:37:false	李鱼:4:false	丽鱼:3:false	里遇:3:false	荔芋:2:false	璃鱼:2:false	莉宇:2:false	李渝:1:false	鲡鱼:1:false	丽语:1:false	李与:1:false	利鱼:1:true	立鱼:1:true	
shoujizhijia	手机支架:410:true	手机指甲:2:true	
