瘀血
咯血
冷痛
脉浮紧
流行性腮腺炎
四肢麻木
热感冒
扁桃体炎
昏迷
气滞血瘀
过敏
肝火
军团病
腹痛腹泻
慢性支气管炎
高热
怕冷
火眼
鼻前庭炎
脉弦
目痛
心悸
非淋菌性尿道炎
疝气
急性咽炎
崩漏
骨蒸潮热
脑血栓
痰厥
冠心病
积聚
肝郁气滞
湿痹
血友病
中耳炎
晕车
呕血
恶寒发热
头昏
心肾不交
咽喉炎
肺结核
溃疡
哮喘
小便频数
刺痛
抽搐
目赤
盆腔炎
血尿
淋证
利尿
大肠湿热
局部头痛
细菌感染
齿龈肿痛
阴虚火旺
消渴
晕船
风寒头痛
不安
咽干
腰酸
咽炎
下呼吸道感染
气滞
四肢酸痛
霍乱
软组织损伤
头痛
普通感冒
鼻炎
胁痛
乳糜尿
肌肉酸痛
梦遗
骨蒸
急性扁桃腺炎
膝关节骨性关节炎
神疲乏力
智力低下
尿急
痄腮
便秘
痛经
紧张性头痛
类风湿性关节炎
皮肤软组织感染
痱子
耳聋
咳痰
牙痛
白喉
百日咳
疼痛
热中
感冒
热痛
心烦
多梦
血虚头痛
血瘀
链球菌感染
实火
脑震荡
里急后重
低热
流鼻涕
潮热
肺炎
安神
炎性外痔
腰膝酸软
蚊叮虫咬
舌质暗红
肠道吸收障碍
阴道炎
苔薄黄
流感
腹胀
枯草热
恶心
气喘
烦躁不安
瘀证
灼痛
暑湿感冒
肺热咳嗽
打喷嚏
牙齿疼痛
风寒湿痹
水痘
急性扁桃体炎
中暑
肺脓疡
流涕
口疮
慢性宫颈炎
尿赤
爆发火眼
惊风
急性支气管炎
脾肾不足
早泄
喷嚏
头胀
肩周炎
目赤肿痛
牙龈肿痛
流泪
鼻塞
泌尿系统感染
尿痛
乏力
尿路感染
眩晕
盗汗遗精
伤暑
口鼻生疮
口渴
软组织感染
肿胀
流清涕
胃寒疼痛
细菌性痢疾
胸痹心痛
肝炎
记忆减退
乳蛾
关节痛
精血
中风偏瘫
健忘
前列腺增生
外阴炎
麻疹
支原体肺炎
羞明
流行性感冒
白带
口苦
腹泻
脾胃虚弱
干咳嗽
无汗
小便不利
舌下吞服
痔核
菌血症
丹毒
偏头痛
牙龈炎
坏血病
风温
畏寒
湿热
疾病
紫癜
周身不适
急性疼痛
食欲不振
小儿高热惊厥
头晕
高脂血症
肠炎
无力
久咳
鼻窦炎
气短
沙眼
前列腺炎
疮毒
咽喉不利
喉痒咳嗽
癃闭
喉痹
风湿热
小便短赤
疖肿
口燥咽干
大便秘结
肝胆湿热
烧伤
腹膜炎
气逆
中风
带下病
风热感冒
疮疡
骨髓炎
烦热
下腹坠胀
脑膜炎
脑炎
出血性疾病
余沥不尽
风湿痹
咬伤
咽干咽痛
恶寒
内痔
病毒性肝炎
汗出热不解
牙疼
疔疮
气促
头疼
口干舌燥
胎动
慢性盆腔炎
风疹
肋痛
反复感冒
月经过多
发颐
胸腹胀满
发热
膀胱湿热
畏光
干呕
风寒感冒
发烧
痧胀
嗓子疼
支气管炎
腹痛
血症
水肿
维生素K缺乏
胸痹
自汗
神昏
气管炎
不思饮食
积滞
热毒炽盛
大便不通
骨折
胸痛
阴囊潮湿
慢性前列腺炎
下腹胀痛
附件炎
氰化物中毒
全头痛
脉数
瘰疬
舌偏红
霉菌感染
腮腺炎
惊厥
暑湿
身痛
镇静
腰背酸痛
慢性化脓性中耳炎
病毒感冒
口干
晕眩
高热不退
伤食
溲黄
干咳
耳鸣
高脂蛋白血症
头目眩晕
伤风
有头疽
咽喉肿痛
风湿性关节炎
膀胱炎
血管性头痛
呕吐
皮肤瘙痒
头昏心烦
暑风
炭疽
黄疸
咳嗽
骨痛
喉炎
湿疮
多汗
壮热
内热
血栓形成
头晕目眩
腰骶疼痛
咽痛
小便赤黄
高血压
脾虚
疱疹
耳内流脓
胸闷
瘙痒
咽喉疼痛
盗汗
咯痰
痉挛
白带量多
痢疾
绝经
短暂性脑缺血发作
午后潮热
尿道灼热
前额头痛
心肌炎
消化不良
脑缺血
肛裂
舌苔厚腻
精血不足
适用吞咽困难
肛门坠胀
烫伤
温热
扭伤
血热
神经痛
术后疼痛
神经性头痛
血栓闭塞性脉管炎
尿频
上呼吸道感染
