拌鸡架	鸡肝:0.64,鸡叉:0.79,鸡脖:0.72,酱鸡脖:0.91,熏拌干豆腐:0.81,拌豆皮:0.88,鸡骨棒:0.84,混拌:0.85,熏拌豆皮:0.83,酱鸡肝:0.84	炝拌干豆腐丝:0.83,拌菜:0.81,炝拌土豆丝:0.80,炸鸡叉:0.80,熏拌:0.80,炸鸡叉骨:0.80,酱鸡腿:0.78,鸡叉骨:0.76,熏鸡腿:0.72,炸鸡柳:0.75,鸡骨叉:0.75,炸鸡皮:0.69,鸡肚:0.71,炸鸡脖:0.74,卤鸡肝:0.73,熏鸡胗:0.73,熏鸡肚:0.73,可乐鸡脖:0.71,蒸鸡蛋糕:0.71,熏鸡肝:0.65,口水鸡:0.67,炸鸡排:0.64,鸡脖子:0.66,鸡柳:0.53,鸡抓:0.65,熏鸡脖:0.55,熏鸡叉骨:0.64,鸡头:0.60,卤鸡爪:0.64,纯肉鸡排:0.64,酱鸡爪:0.60,鸡爪子:0.62,卤鸡蛋:0.61,炸鸡心:0.60,鸡皮:0.55,鸡胗:0.52,烤鸡蛋:0.57,整鸡:0.57,脆皮鸡:0.56,黄焖鸡:0.51,炸鸡:0.52,鸡珍:0.55,鸡皮串:0.52,脆皮鸡饭:0.55,原味鸡脖:0.55,炸鸡块:0.55,炸鸡柳棒:0.54,脆皮鸡排:0.54,铁板鸡:0.53,鸡丝:0.52,烤鸡脖:0.51,炸鸡饭:0.51
掩面	腌面:0.92,粉面:0.77	
木糖醇	口香糖:0.73,无糖:0.63,薄荷糖:0.58,奶糖:0.54	
拌牛肚	牛杂汤:0.65	
针线盒	香皂盒:0.86,缝衣针:0.88	
黄金瓜	甜瓜:0.89	
油麦菜	娃娃菜:0.92,生菜:0.84,花菜:0.86,有机花菜:0.85,空心菜:0.89,菜花:0.89,西生菜:0.89,波菜:0.88,卷心菜:0.87,包菜:0.81	小青菜:0.85,广生菜:0.85,广东菜心:0.82,茼蒿菜:0.83,鸡毛菜:0.81,太古菜:0.82,蓬蒿菜:0.81,油豆皮:0.78,豆油皮:0.75,油豆腐:0.60,青椒炒油渣:0.58,油面筋:0.53
猪杂饭	烧鸭饭:0.81,白切鸡饭:0.85,汤饭:0.53,鸡饭:0.82,粉肠饭:0.82,炒蛋饭:0.80,秋刀鱼饭:0.80,肉丝饭:0.74,肉沫饭:0.73,牛肉炒饭:0.70	鸡腿饭:0.70,戈饭:0.67,蒸饭:0.66,排骨汤饭:0.54
云片糕	绿豆糕:0.88,条头糕:0.78,桔红糕:0.73,蒸蛋糕:0.81,方糕:0.67,莲子糕:0.83,印糕:0.70,桂花糕:0.73,蛋糕:0.61,旦糕:0.58	年糕团:0.51,打糕:0.55
脆皮鸡排	鸡块:0.75,盐酥鸡:0.88,鸡米花:0.86,鸡肉卷:0.77,鸡腿堡:0.78,鸡柳:0.83,龙骨脆:0.88,鸡翅包饭:0.87,奥尔良腿排饭:0.87,鸡翅:0.75	鸡肉串:0.72,鸡腿:0.72,炸鸡:0.81,咖喱鸡肉饭:0.77,香香鸡:0.72,鸡叉骨:0.71,鸡架:0.69,马铃脆薯条:0.68,小鸡腿:0.65,香脆耦盒:0.67,鸡胗串:0.56,烤鸡:0.64,鸡肉:0.61,牛排:0.59,鸡腿煲:0.59,脆骨:0.56,飙风脆薯:0.56
米面	汤面:0.85,拌面:0.64,小排面:0.88,麦面:0.95,三鲜面:0.90,肉丝面:0.70,锦粉面:0.91,猪肝面:0.85,扁面:0.84,大排面:0.84	圆面:0.81,猪腰面:0.86,面糕:0.86,清汤面:0.86,炒面:0.69,本地鸡面:0.85,手工面:0.84,猪蹄面:0.83,手打面:0.84,大肠面:0.84,青菜面:0.82,粉面:0.83,素面:0.83,杂酱面:0.72,荷包蛋面:0.82,笋干面:0.81,猪肚面:0.80,鸡蛋面:0.67,面疙瘩:0.79,浇头面:0.79,煎蛋面:0.77,虾仁面:0.78,黄鱼面:0.77,手擀面:0.77,水面:0.75,面粉:0.75,馄饨面:0.73,排骨面:0.60,切面:0.70,肉面:0.71,加面:0.69,炸酱面:0.68,牛肉丝面:0.72,招牌面:0.72,面条:0.71,蛋面:0.70,面结:0.70,虾面:0.70,炒面加蛋:0.69,小面:0.69,老鸡面:0.68,碱面:0.68,纱面汤:0.66,海鲜面:0.56,蛋炒面:0.65,羊杂面:0.65,粗面:0.63,鱼面:0.63,牛腩面:0.61,油泼面:0.58,豆面碎:0.60,拉面:0.60,页面:0.58,冷面:0.56,家烧羊肉面:0.54,菠菜面:0.54,热干面:0.53
翅包饭	烤翅:0.82,鸡翅:0.78,翅根:0.88,对翅:0.96,翅中:0.80,奥尔良对翅:0.92,全翅:0.86,大鹏展翅:0.81,藤椒扒翅:0.91,炸鸡翅:0.86	翅腿:0.87,无双剑翅:0.83,中翅:0.74,辣翅:0.76,伴翅:0.74,翅腿桶:0.74,辣对翅:0.72,扒拼叉烧饭:0.71,烤翅中:0.70,猪扒包:0.60,烤中翅:0.66,鸡中翅:0.62,鸡翅根:0.63,鸡排饭:0.61,翅尖:0.61,鸡翅中:0.58,烤肉饭:0.54,熊掌包:0.57,猪排饭:0.53,咖喱鸡肉饭:0.53,鸡翅尖:0.53
优酸乳	奶优:0.78,营养乳味:0.78,风味乳饮料:0.80,风味乳饮品:0.78,真果粒乳饮料:0.76,复原乳:0.73,调制乳:0.68,发酵乳:0.67,发酵型含乳饮品:0.58	
锅塌尖椒	树椒:0.74,锅包肉:0.83,回锅肉:0.59	
普洱茶饼	安吉白茶:0.85,春茶:0.51,茶叶:0.79,新茶:0.87	
绿豆	赤豆:0.88	
烤羊宝	烤牛肉:0.64,烤面筋:0.89,烤牛心管:0.97,羊腰子:0.92,羊肉串:0.92,烤排骨:0.85,羊腰:0.94,烤尖椒:0.89,羊肉筋:0.93,烤鱿鱼:0.83	碳烤:0.79,羊肉:0.55
