奶茶	奶绿	182674
螺狮	螺蛳,田螺,炒螺,石螺,大螺	103564,51626,11416,1680,1294
大排	大肠,大骨肉,大肉面,小排,小排面	103411,5692,3934,8,0
素面	筋面,卤面,菜面,干面,米面	60457,57648,54180,52387,49736
大阪烧	玉子烧,厚蛋烧	3470,599
浆水面	油泼面,扯面,荞面,饸饹面,棍棍面	11522,8947,8047,7484,3598
辣鸭头	兔头,馋嘴鸭,鸭脑壳,鸭手,鸭细肠	4324,1287,1100,692,80
糊汤粉	酸辣粉,粉丝汤	165759,51118
海带	海蛰丝	497
泡椒	野山椒,泡藕带,泡笋	80469,4787,2339
粿汁	粿条,粿汤	27970,1747
刀削	削面	168025
面汤	汤面,粉面,干面,米面,捞面	247544,103145,52387,49736,36126
木须肉	鱼香肉丝,肉段,锅包肉,京酱肉丝,溜肉段	90141,22798,7297,7125,6303
血鸭	芷江鸭	688
牙签肉	肉串,里脊肉,骨肉相连,小肉串,骨肉香连	201638,88380,52536,5066,278
鱼泡	鱼片,黄鱼,鱼头,鱼干,鲈鱼	158877,108422,107904,73913,44766
翅尖	鸭翅,翅中,中翅,全翅,鸡中翅	170454,134064,71694,45126,42153
海胆	海螺	39047
炉包	包子,肉包子,素包,水煎包,蒸包	74152,15136,9072,5471,4119
骨汤	鸡汤,大骨,筒骨,高汤,牛骨	220989,64266,47367,21723,19289
豆花面	杂酱面,燃面,豌杂面,豌豆面,宜宾燃面	30580,7074,5770,1810,1164
锅贴饺	蒸饺,煎饺,韭菜饺,炸饺,鲜饺	123689,75128,10545,9570,9441
撒撇	撒苤	30
炒凉粉	醋粉	511
椰汁	椰果,芒果汁,椰子汁,蓝莓汁,猕猴桃汁	204744,109175,103380,16283,10400
羊肉片	肥羊卷	4867
海瓜子	蛏子,梭子蟹,海螺丝,黄蚬子,海蟹	47211,24704,8113,7129,4528
猪皮	肉皮	47862
冻酸奶	酸奶杯	15375
土司	吐司,吐司面包	153210,16827
桶饭	拌饭,烤肉饭,鸡排饭,蛋包饭,饭包	432950,139141,135196,46663,17591
小菜	咸菜	114341
杂粮饭	焖饭,糙米饭,五谷饭	14314,2614,715
海参	海虾,海鲜羹	26405,805
鸡扒	鸡排,鸡饭,鸡排饭,扒饭,鸡腿饭	915116,305189,135196,82240,81192
卷筒粉	粉丝包,油卷	8133,4375
糯米团	糯米球,糯米糕,黑米糕	2445,1632,930
蹄膀	猪蹄,蹄髈	170085,16049
炖蛋	蒸蛋,水蛋,蒸水蛋,蒸鸡蛋,芙蓉蛋	61686,8191,3710,3201,2054
扯面	削面,刀削面,烩面,油泼面,荞面	168025,163091,50790,11522,8047
鸡饭	焖鸡,牛肉饭,鸡排饭,排骨饭,卤肉饭	165172,139893,135196,125241,124370
跳跳蛙	牛蛙,馋嘴蛙,跳水鱼,跳水蛙,跳跳鸡	85021,3436,1007,544,212
嘎达汤	鸡蛋汤,丸子汤,疙瘩汤,拌汤,珍珠汤	55706,14885,13460,3769,1633
炝锅鱼	酸菜鱼,水煮鱼,滑鱼,沸腾鱼,一锅鲜	187196,75006,4291,3446,2959
鲅鱼	黄鱼,带鱼,小黄鱼,刀鱼,黄花鱼	108422,98137,67265,53784,48598
干拌	米干,干溜面	6684,350
胡萝卜	红萝卜	31059
筒骨饭	排骨汤	132417
揽锅菜	扁粉菜	116
鲜果捞	水果捞,酸奶捞	101373,25764
铺盖面	小面	19
竹升面	干面,捞面,云吞面,斋面,猪什面	52387,36126,25032,518,70
卤鸭	卤鸡,香辣鸭,酱鸭,卤牛肉,酱香鸭	78678,55479,50966,25458,20726
鸭脚	鸭翅,鸭头,鸭爪,鸡脚,鸭心	170454,78287,60139,41988,32719
锅巴菜	菜团子,韭菜合子	810,54
海南粉	河粉,猪肠粉,冬粉,老友粉,酸粉	220141,3741,2550,2267,1834
奶酪包	奶酥,排包,菠萝包,欧包,奶卷	24089,16458,10120,7598,4068
脆骨	骨肉相连,鸡软骨,鸡骨头	52536,10919,468
酱骨架	酱牛肉,酱大骨,酱骨头,酱脊骨,蘸酱菜	25081,3929,2680,1661,1002
拉肠	肠粉,虾肠,鲜虾肠,粉肠粥,肉蛋肠	120040,3754,3071,2469,2100
冬粉鸭	粗粉,鸭肉粉,冷粉,鸭肉面,鸭肉汤	15029,1689,1059,868,709
香酥鸭	烤鸭,酱鸭,板鸭,酱香鸭,北京烤鸭	118625,50966,23560,20726,14387
冰激淋	冰淇淋,冰激凌,冰棒,冰淇凌	521531,52755,20898,3957
沙煲粉	河粉,汤粉,粉面,螺蛳粉,卤粉	220141,132601,103145,89126,19139
芹菜	白菜,韭菜,西芹,土芹,药芹	639295,471910,54585,2129,1409
后安粉	筒骨粉,腌粉,海南粉,抱罗粉,粉签	1935,1764,1561,1509,1210
肉骨茶	鸭肉汤	709
柠檬汁	橙汁,柠檬茶,芒果汁,苹果汁,西瓜汁	277494,171614,109175,83902,57354
三鲜粉	粉面,牛肉粉,蛋粉,素粉,肥肠粉	103145,69291,18524,18327,17257
鸡叉	鸡排,鸡柳,盐酥鸡,鸡架,鸡脖	915116,284346,31642,29158,28765
番茄面	筋面,捞面,海鲜面,棒面,肉酱面	60457,36126,17309,17227,14994
咕咾肉	咕噜肉	5637
四季豆	豆角,刀豆,煎豆腐,炒豆子	415752,11299,11255,75
鸡蛋汤	蛋花汤,豆腐汤,肉片汤,丸子汤,疙瘩汤	53646,48890,24450,14885,13460
匹萨	披萨,比萨,批萨	556182,338257,2961
粉条	粉皮,渍菜粉	30886,570
杏鲍菇	金针菇,平菇,白玉菇,白灵菇	273306,44206,15209,431
迷踪蟹	香辣蟹,肉蟹,蟹煲,卤蟹,蟹肉煲	16872,14024,13854,468,332
蕨根粉	厥根粉	318
鲜花饼	月饼,宫饼	310905,184
烩饭	炒饭,盖浇饭,煲仔饭,牛肉饭,焗饭	875812,683053,285119,139893,116208
酸辣鱼	酸菜鱼,鱼头,水煮鱼,鳝鱼,酸菜鸡	187196,107904,75006,16924,11967
小米糕	小笼,麻糕,玉米饼,发糕,马拉糕	58728,8156,7198,6060,2654
豆芽	豆腐皮,老豆腐,水豆腐,豆翅	55779,37365,16440,133
三文治	三明治	175203
鱼片	黄鱼,鱼头,鱿鱼须,鲍鱼,草鱼	108422,107904,68125,66681,66503
炝肉	牛肉汤	86505
肉粽	粽子,鲜肉包,豆沙粽,蜜枣粽,牛肉包	36032,17899,11339,8417,8286
冷串	串串,冷锅	34827,2564
扁粉菜	菜夹馍,揽锅菜	2285,387
鸡脆骨	鸡胗,鸡心,鸡中翅,鸡尖,鸡皮	111062,56695,42153,35663,22866
猪尾巴	猪头肉,猪耳朵,猪腰,猪舌,猪肺	65479,54828,39645,32852,19074
烤鹅	烤鸭,卤鹅,鹅头,熏鹅,鹅脚	118625,9355,2897,1191,614
肉包子	菜包,煎包,鲜肉包,素包,粉丝包	120434,21136,17899,9072,8133
猪杂	猪肚,猪肠,猪什汤,猪什粉	172234,11624,2443,111
火腿	方腿肉	204
玉米饼	烧饼,蛋饼,大饼,菜饼,油饼	85499,45275,31848,30328,27162
凉虾	凉粉,凉糕	95554,9785
黄金糕	糯米糕,黑米糕,米血糕	1632,930,156
咸水鸭	鸭头,鸭肾,盐水鸭,白切鸭,盐水鹅	78287,12511,12162,6158,2920
河虾	小虾,油爆虾,白灼虾,盐水虾	10894,1355,741,526
打糕	年糕条,辣年糕	9910,1668
粉汤	粉干,面汤,血汤,肚肺汤	48055,22966,5128,396
薏米	黑米,米粥,薏仁,米汤,玉米糊	133872,124249,48744,15626,1204
鸡翅尖	鸡爪,鸭翅,翅中,鸡胗,中翅	222004,170454,134064,111062,71694
皮肚面	面疙瘩,三鲜面,鸡腿面,大肉面,瘦肉面	27774,7966,7077,3934,3417
棒骨	腔骨,棒子骨	7568,2201
卤鸡	卤鸭,盐焗鸡,蜜汁鸡,酱鸡,盐鸡	123821,115116,33060,28356,12659
无籽西瓜	梨瓜	1230
蛤蜊	花蛤,文蛤,青蛤,蛤蛎,麻蛤	55507,9138,461,379,334
手撕兔	兔丁,冷吃兔,兔头,兔腿,烤兔	6354,4730,4324,4106,2333
辣翅	辣堡,香辣堡	31697,2457
兔肉	黄牛肉,兔腿,野猪肉,烟薰肉	25559,4106,1371,19
木糠杯	奶油杯,芒果杯,木糠盒	2642,2402,1642
鱼煲	鱼片,鱼头,鸡煲,鱼粉,鱼粥	158877,107904,49568,32498,18272
切片面包	吐司面包,排包	16827,16458
牛舌	牛肚,牛腱,牛蹄,牛腱子,牛蹄筋	216315,35947,18916,18683,15760
热米皮	擀面皮,酿皮,皮加面	20288,4638,363
玉米汁	芒果汁,西瓜汁,百香果汁,草莓汁,米浆	109175,57354,22609,14088,10591
拌汤	疙瘩汤,肚丝汤,嘎达汤	13460,1235,254
茶泡饭	卷饭,鳗鱼饭,亲子饭,鱼生饭	16064,11160,539,510
鸡肝	鸡胗,鸡翅尖,鸡心,鸡翅中,鸡翅根	111062,58943,56695,41433,41289
豆花鱼	酸菜鱼,水煮鱼,黑鱼,酸汤鱼,藤椒鱼	187196,75006,70156,9618,5302
粉皮	粉条,皮渣	117910,596
椒麻鱼	藤椒鱼,沸腾鱼,泡菜鱼,鲜椒鱼,麻椒鱼	5302,3446,2659,2171,513
猪肠粉	捞粉,濑粉,陈村粉,冬粉,粉签	9314,5308,2681,2550,1210
一锅出	锅包肉,一锅鲜,一锅香,炝锅鱼,大锅菜	7297,2959,1548,1098,1023
酸菜粉	肉末粉,芹菜粉	6795,2309
糁汤	胡辣汤,糊辣汤,撒汤,片儿汤	9301,496,314,180
猪头排	猪脚,猪尾巴,猪小肚,猪头骨,猪头片	162872,10366,2263,522,136
挂面	宽面,阳春面,波纹面,玉带面,长寿面	39528,4868,2633,2589,2491
鸡骨	鸡翅,烤鸡,软骨,香酥鸡,原味鸡	490792,359840,200071,85413,74662
红肠	干肠,蒜肠,松花肠	9027,5931,142
百香果汁	柠檬汁,芒果汁,苹果汁,西瓜汁,雪梨汁	117054,109175,83902,57354,55519
玉米面	面条,荞麦面,切面,菠菜面,玉米粉	112956,17403,12251,11554,9108
臭鳜鱼	杂鱼,滑鱼,臭桂鱼,石锅鱼,乌江鱼	11996,4291,4240,2796,2413
瘦肉	肉丸汤,咸肉,肉圆,大骨肉,肥肉	47909,39595,27994,5692,4652
锅魁	锅盔	9759
小鱼	片片鱼,口水鱼,野刁鱼	4691,2368,586
香菜	菠菜,小白菜,豆芽菜,苦菊菜,藤藤菜	137940,78988,2141,191,131
蟹脚面	香辣蟹,肉蟹,石蟹,蟹面,蟹肉煲	16872,14024,935,885,332
小土豆	豆角,土豆片,芸豆,千页豆腐,土豆条	415752,137739,42618,37371,21604
雪梨	梨汁,凤梨汁	107394,5716
莫吉托	莫吉多	634
锅边糊	面线糊	1234
钟水饺	甜水面,担担饺	222,62
炒青菜	炒肉,炒蛋,炒鸡蛋,包菜,手撕包菜	748040,195222,141281,110962,42110
萝卜汤	排骨汤,汤饭,豆腐汤,丸子汤,骨头汤	132417,122328,48890,14885,12526
油墩子	葱油饼	8595
糍饭	粢饭,麻糍,紫菜饭	3272,2013,1599
蛋堡	汉堡,至尊堡	273095,860
鱼生	金枪鱼,生鱼片,鱼饼汤	114185,1934,552
整鸡	鸡翅,炸鸡,香鸡,脆皮鸡,童子鸡	490792,352513,308065,282697,52682
辣糊糊	麻辣拌,酸辣拌	30400,2285
白菜	韭菜,芹菜,油菜,莲菜,莲花白	471910,324656,61617,15196,4661
吊炉饼	油饼,酱香饼,葱花饼,发面饼,豆沙饼	27162,3355,2506,2307,2185
午餐肉	鸡脯肉,方腿肉	4282,204
炒蛋	炒肉,炒鸡蛋,炒鱿鱼,炒青菜,涨蛋	748040,141281,17124,10875,1836
脆皮鸭	卤鸭,烤鸭,香辣鸭,酱鸭,酱香鸭	123821,118625,55479,50966,20726
片儿川	片面,拌川	38294,3468
鱼粥	鸡粥,鱼汤,鱼片粥,蟹粥,海鲜粥	30668,24182,13286,10024,7712
小肉	五花肉,肉卷,牛肉串,炸肉丸	326174,294919,26436,954
冬瓜汤	蛋汤,豆腐汤,瘦肉汤,三鲜汤,青菜汤	101494,48890,28287,9534,8526
冰淇凌	冰淇淋,冰激凌,冰激淋	521531,52755,7541
牛骨粉	素粉,老鸭粉,牛筋粉,筒骨粉,梗粉	18327,7070,2433,1935,1566
面包蟹	梭子蟹,花蟹,膏蟹,河蟹,青蟹	24704,13478,6337,6090,3066
粢饭	糍饭,乌饭	943,299
海鲜锅	鱼羊鲜	425
水煮蛋	煎蛋,荷包蛋,咸蛋,咸鸭蛋,茶叶蛋	112057,78485,71174,65900,18365
酥饼	月饼,脆饼,薄饼,凤梨酥,桃酥	310905,58461,53944,33760,31033
青椒	尖椒,杭椒	312631,35034
戈饭	芋头饭	491
菜夹馍	肉夹馍,白吉馍,肉加馍,肉夹膜,夹肉饼	121139,3545,2093,1559,1393
牛肉卷	肥牛,鱼卷,虾卷,鸭胸肉,鱿鱼卷	312651,50866,25641,9520,8577
米豆腐	豆丝,豆芽,老豆腐,嫩豆腐,水豆腐	246252,181404,37365,23417,16440
娃娃菜	生菜,包菜,菜花,大白菜,空心菜	122719,110962,95267,77320,68843
鸡油饭	海南鸡,鲁肉饭,菠萝饭,蔬菜饭	3172,3103,1547,1514
血糯米	黑米,紫米,薏米,黑糯米	133872,95592,61178,40932
红豆派	香芋派,菠萝派,苹果派,黄桃派	5603,3056,2088,421
拉皮	皮冻	25430
鱿鱼须	鱼片,烤鱼,耗儿鱼,剥皮鱼,罗非鱼	158877,123392,13294,11290,10027
馋嘴鸭	卤鸭,烤鸭,香辣鸭,酱鸭,酱香鸭	123821,118625,55479,50966,20726
卡布奇诺	摩卡,卡布基诺	274291,14528
毛蛋	实蛋,羊蛋,石蛋	11360,4323,4084
粉肠	腊肠,小肠,猪大肠,猪肠,猪小肠	146589,39043,12140,11624,1558
红茶	奶茶,果茶,柠檬茶,蜜茶,柚子茶	2441716,352797,171614,115381,95828
鱼翅	鱼片,墨鱼,黄鱼,鱼干,小黄鱼	158877,128691,108422,73913,67265
温泉蛋	蛋包饭,溏心蛋,厚蛋烧,糖心蛋	46663,1364,599,408
叉骨	骨架,鸡叉,鸡锁骨,鸡骨架,鸡骨棒	15066,12008,8388,7136,960
大拌菜	老虎菜,下酒菜,芥菜丝,蘸酱菜,小葱拌豆腐	3886,3224,2052,1002,475
盐水鹅	口水鸡,盐水鸭,咸水鸭,贡鹅	26283,12162,2837,809
沾串	涮串	448
柴火鸡	芋儿鸡,土匪鸡,跳跳鸡,东安鸡,盆盆鸡	2245,780,212,209,94
双拼	三拼饭	0
煮面	汤面,筋面,干面,米面,捞面	247544,60457,52387,49736,36126
炝锅面	削面,烩面,油泼面,扯面,荞面	168025,50790,11522,8947,8047
全羊	羊杂,羊肚,羊肉汤,羊血,羊杂汤	73854,40347,13766,10755,8314
鱼豆腐	鱼丸,豆皮,鱼排,香豆腐,鱿鱼卷	242046,180583,60647,27804,8577
果盘	鲜果切	18101
茄子饭	盖饭,鸡饭,牛肉饭,排骨饭,卤肉饭	745755,305189,139893,125241,124370
麻糍	糍粑,麻糕,麻球,麻圆	25771,8156,7166,1431
宽面	挂面,面条,面片,细面,香菇面	240528,112956,41438,26613,12114
肉丝面	菜面,肉丁,焖肉,肉丝粉,馄饨面	54180,53662,30409,24622,8712
荔枝肉	东坡肉,炸醋肉,白切肉	8233,730,588
蔬菜粥	瘦肉粥,南瓜粥,麦粥,白粥,红枣粥	86580,26002,22193,20837,13950
猪腰	猪心,猪脑,猪肺,猪大肠,猪肠	105790,27063,19074,12140,11624
帝王蟹	面包蟹,雪蟹,籽蟹,梭蟹,冬蟹	3444,1943,851,208,199
红枣粥	米粥,瘦肉粥,玉米粥,南瓜粥,麦粥	124249,86580,38331,26002,22193
鸭下巴	板鸭	23560
糖糕	豆糕,枣糕,糖饼,米糕,糖包	23963,23835,23335,12086,10558
脊骨	龙骨,棒骨,大骨头,腔骨,骨棒	70249,20601,8590,7568,5164
肉卷	五花肉,小肉,牛肉串	326174,27509,26436
煎蛋	蛋炒饭,卤蛋,荷包蛋,水煮蛋	199599,121102,78485,2251
大肉面	菜面,牛杂面,三鲜面,鸡腿面,清汤面	54180,15658,7966,7077,3056
虾饼	薯饼,鱼饼,蝴蝶虾,芙蓉虾,绿茶饼	47337,32333,5972,2589,1478
鸭心	鸭肠,鸭胗,鸭爪,鸭脚,鸭食管	101052,87689,60139,28257,14091
黄鱼面	米面,面疙瘩,目鱼,爆鱼,三鲜面	49736,27774,17908,9570,7966
劲酒	杨梅酒	2445
抱罗粉	河粉,濑粉,猪肠粉,冬粉,老友粉	220141,5308,3741,2550,2267
冷吃兔	兔丁,兔头,手撕兔	6354,4324,688
牛筋	牛肠,牛脚	7185,2038
紫菜汤	蛋花汤,酸辣汤,海带汤,芹菜汤,带丝汤	53646,17247,10251,778,415
对夹	肉夹膜,夹肠饼	1559,51
冬瓜茶	柠檬茶,蜜茶	171614,115381
鱼籽	鱿鱼,鳕鱼,三文鱼,墨鱼,鳗鱼	604386,172704,161367,128691,90315
炒鸡蛋	炒肉,炒蛋,炒鱿鱼,炒青菜,摊鸡蛋	748040,195222,17124,10875,2336
耗儿鱼	鱼片,鱿鱼须,草鱼,剥皮鱼,鱼肚	158877,68125,66503,11290,11008
牛肉包	肉粽,牛肉饼,豆包,鲜肉包,粉丝包	50249,26358,20626,17899,8133
清汤粉	粉干,拌粉,粗粉,三鲜粉,煮粉	48055,44379,15029,7341,5914
蟹黄堡	虾堡,牛肉堡,辣堡,鲜虾堡,汉堡包	60055,39358,31697,26251,18720
卤水	咸水鸭	2837
炖牛肉	炖排骨,坛肉,红焖肉,汆白肉,川白肉	36186,9096,5766,2312,861
熏鱼	银鱼,醉鱼,酥鱼,爆鱼,糟鱼	20780,11678,9738,9570,1880
蟹肉	鱼肉,蟹棒,牛肉卷,虾肉,鸭胸肉	71852,37020,27796,17505,9520
鱼汤面	米面,鱼面,面疙瘩,目鱼,爆鱼	49736,28762,27774,17908,9570
辣椒	辣子,花椒,小米椒	171435,111754,0
印度飞饼	煎饼,酥饼,香酥饼,千层饼	182109,67972,5326,3543
麦乐鸡	鸡米花	91063
油爆虾	河虾,香辣虾,小河虾,富贵虾,麻虾	37987,23844,12479,1239,1046
熘肉段	木须肉,护心肉,锅包肉,京酱肉丝,溜肉段	18102,16500,7297,7125,6303
豆干	豆腐干,豆筋,豆卷,臭干子,小鱼干	83951,18708,16380,12904,12579
浆面条	荞面,肉浇面,油丝面	8047,229,153
摊摊面	杂酱面,燃面,豌杂面,豌豆面,宜宾燃面	30580,7074,5770,1810,1164
臭桂鱼	鱼头,杂鱼,黄骨鱼,财鱼,白鱼	107904,11996,10313,6219,4634
姜汤	红糖姜茶	8418
辣串	辣糊糊	837
大排饭	卤肉饭,鸡腿饭,牛腩饭,叉烧饭,猪脚饭	124370,81192,41968,39174,31973
洋葱	圆葱	21689
鳝鱼	鱼片,黄鱼,鱼头,鲫鱼,黑鱼	158877,108422,107904,98502,70156
猪血	鸭血,猪肺,猪红,血菜	99635,19074,6280,179
玉米粥	八宝粥,黑米粥,南瓜粥,紫米粥,燕麦粥	180091,41047,26002,24213,21060
八刀汤	猪杂汤,及第汤,猪什汤,汤桂粉	45047,5985,2443,49
蒸包	包子,煎包,鲜肉包,肉包子,素包	74152,21136,17899,15136,9072
肉加馍	夹馍,肉夹馍,腊汁肉,白吉馍,菜夹馍	142509,121139,9040,3545,2285
黑椒	黑胡椒	211170
开心果	腰果	126849
咸鱼	咸肉	39595
鹌鹑蛋	鸟蛋	5880
煮馍	泡馍	13278
肉燕	燕饺,肉羹,牛肉羹	20367,18957,11798
鱼头汤	蛋汤,豆汤,豆腐汤,鱼汤,冬瓜汤	101494,59880,48890,24182,11362
粑粑	糍粑	25771
手抓	抓饭	7018
粗粮面	朝鲜面,蔬菜面,肉蓉面	7384,3606,2571
冷锅鱼	藤椒鱼,沸腾鱼,椒麻鱼,石锅鱼,豆花鱼	5302,3446,3360,2796,2783
冒鸭子	冒粉	246
闷面	焖面,剪刀面	54055,1368
猪杂汤	肉丸汤,瘦肉汤,及第汤,血汤,猪什汤	47909,28287,5985,5128,2443
肉火烧	肉夹膜	1559
泡椒鸡爪	泡椒凤爪,泡爪,鸡肘,鸡拐	30677,3277,2257,1712
青团	团子,汤团	3955,2821
团子	粽子,汤团	36032,2821
蘑菇	香菇	939473
猪肘饭	鸡腿饭,叉烧饭,猪脚饭,鸭腿饭,鲁肉饭	81192,39174,31973,22491,3103
钵仔糕	鸡蛋仔,车仔面,千层糕,碗仔翅	61767,32882,1507,1020
鱼饼	鱼丸,章鱼,鱼蛋,鱼卷,八爪鱼	242046,78629,54109,50866,48460
圣女果	千禧果	8664
龙骨	筒骨,筒子骨,棒子骨,猪头骨,胴骨	47367,31502,2201,522,254
羊鞭	羊腰,羊腰子,羊宝,羊蛋,羊球	13523,5459,4553,4323,896
米汤	米粥,薏米,红豆汤,菌菇汤,白米粥	124249,61178,6033,3691,3675
牛腩面	肉面,汤面,鸡面,排骨面,牛肉汤	714585,247544,116379,91944,86505
鲤鱼	黄鱼,鲫鱼,带鱼,黑鱼,草鱼	108422,98502,98137,70156,66503
夹馍	夹饼,白吉馍,肉加馍,肉夹膜,卷馍	7358,3545,2093,1559,1273
扒饭	焗饭,蛋包饭,叉烧饭,咖喱饭,蔬菜饭	116208,46663,39174,30649,1514
酱汤	酸辣汤,海带汤,泡菜汤,味增汤,牛尾汤	17247,10251,5397,1690,1148
濑尿虾	基围虾,皮皮虾,对虾,中虾,大龙虾	54943,31838,20608,12846,12174
薯饼	薯格,虾饼,粗薯,炸薯条,薯宝	61247,11159,7340,5900,2119
千页豆腐	豆芽,土豆片,千张,豆腐皮,香豆腐	181404,137739,81623,55779,27804
黄鳝	鳝鱼,大黄鱼,黄骨鱼,黄蛏	16924,12889,10313,139
拌川	片儿川,伴川	1832,55
海蛎煎	海蛏,蛤蛎	3710,379
鸡粥	鱼粥,鱼片粥,蟹粥,海鲜粥,咸骨粥	18272,13286,10024,7712,5266
芒果汁	橙汁,椰汁,柠檬汁,梨汁,椰子汁	277494,203472,117054,107394,103380
东北乱炖	炖菜	4178
西瓜冰	芒果冰,牛奶冰,红豆冰	32726,27352,18659
木耳	折耳叶	85
热汤面	冷面,面片,凉拌面,菠菜面,油泼面	113939,41438,19897,11554,11522
烤馕	烤羊肉,烤饼,烤筋,烤包子	10592,8507,963,420
烤面包	烤饼,烤豆腐,面包片	8507,5944,4621
担仔面	牛腩面,三丸面	22463,0
红薯粉	细粉,宽粉,地瓜粉,空心粉,细粉丝	68282,59960,8525,1804,1593
葱油鸡	白切鸡,手撕鸡,盐鸡,咸鸡,酱油鸡	54077,38912,12659,12470,4284
锡纸粉	花甲粉,荷叶粉,冒粉	33696,1045,246
牛板筋	凤筋	172
鱼蛋粉	鱼丸汤,猪肠粉,鱼皮饺,冬粉,牛丸粉	9810,3741,3374,2550,1834
肠旺面	杂酱面,豌杂面,豌豆面,宜宾燃面,豆花面	30580,5770,1810,1164,1006
素鸡	素鸭	2215
辣鸡粉	牛肉粉,素粉,肥肠粉,三鲜粉,老鸭粉	69291,18327,17257,7341,7070
土鸡	草鸡,麻鸡,柴鸡,咸鸡,腊鸡	60044,26644,24470,12470,9953
蚬子	蛏子,海蛎子,蚶子	47211,3622,1653
公仔面	乌冬面,捞面,海鲜面,虾面,煮面	49018,36126,17309,12898,6863
蚵仔煎	煎双蛋	1532
荷包蛋	卤蛋,煎蛋,水煮蛋	121102,112057,2251
酸菜汤	豆汤,豆腐汤,酸辣汤,丸子汤,海带汤	59880,48890,17247,14885,10251
四喜丸子	狮子头,肉丸子,焖子,把子肉	52991,24376,8532,2338
蘸酱菜	大拌菜,老虎菜,下酒菜,酱骨架,酱肘花	12043,3886,3224,1325,756
白米饭	白饭	8800
老鸭煲	老鸭汤	68416
黄牛肉	腊牛肉,野猪肉	6383,1371
黑米	糯米,黑芝麻,黑豆,薏米,玉米糊	252027,230909,77654,61178,1204
蝴蝶酥	蛋黄酥,千层酥	28607,4222
鲜虾	虾肉	17505
鸭胗	鸭腿,鸭肠,鸭头,鸭肉,鸭心	150670,101052,78287,54511,32719
烤牛肉	牛排,烤鸡,烤鸡肉,煎肉,烤羊肉	415818,359840,22603,14138,10592
萝卜糕	马拉糕,马蹄糕,千层糕,小米糕	2654,1587,1507,0
濑粉	汤粉,捞粉,猪肠粉,冬粉,腌粉	132601,9314,3741,2550,1764
藕汤	冬瓜汤,鸽汤,萝卜汤,鲫鱼汤,血汤	11362,7960,7813,6193,5128
鸭蛋	皮蛋,咸蛋,松花蛋,茶叶蛋,茶蛋	169243,71174,19773,18365,13206
鸡公	仔鸡,鸡仔,土匪鸡,柴火鸡,跳跳鸡	22990,6924,780,541,212
原味鸡	烤鸡,脆鸡,香酥鸡,蜜汁鸡,鸡骨	359840,113851,85413,33060,20054
一锅香	一锅鲜,石锅鱼,一锅出,炝锅鱼,冷锅鱼	2959,2796,2706,1098,331
馍馍	手工馍,蒸馍,油炸馍片	759,269,12
鸡头	鸡心,鸡脖子,鸡爪子	56695,4068,3675
一锅鲜	锅仔,一锅出,一锅香,炝锅鱼,鱼羊鲜	58479,2706,1548,1098,425
鸡捞面	盆盆鸡,小煎鸡	94,0
炸三样	炸丸子,爆三样,老爆三,溜三样,炸茄盒	1584,1289,913,719,716
牛蹄筋	牛肚,板筋,牛百叶,牛腱子,羊蹄	216315,127670,34727,18683,15368
香菇	蘑菇	215171
菜卷	干豆卷	253
吐司面包	切片面包,土司,排包,牛角包,欧包	22229,20034,16458,11716,7598
紫菜饭	饭团,包饭,蛋包饭,卷饭,紫菜卷	135085,129812,46663,16064,7755
老母鸡	乌鸡,草鸡,三黄鸡,麻鸡,柴鸡	282967,60044,32236,26644,24470
拆骨肉	回锅肉,小炒肉,拆骨饭	236937,95328,358
盐水鸡	盐焗鸡,卤鸡,炸香鸡	115116,78678,127
盐水虾	河虾,香辣虾,小河虾,小虾,油爆虾	37987,23844,12479,10894,1355
油麦菜	生菜,娃娃菜,菜花,小白菜,大白菜	122719,109314,95267,78988,77320
鱼火锅	鱼煲,鱼泡	13696,11055
杂粮粉	土豆粉,花甲粉,鱼粉,渔粉,玉米粉	127115,33696,32498,27526,9108
米肠汤饭	紫菜汤,酸辣汤,酱汤,海带汤,海鲜汤	25145,17247,14798,10251,9428
咕噜肉	咕咾肉	2103
干面	卤面,米面,粉干,捞面,手工面	57648,49736,48055,36126,29295
红豆饼	酥饼,松饼,绿豆糕,芝麻饼,香酥饼	67972,55710,20015,6356,5326
姜鸭面	杂酱面,燃面,豌杂面,豌豆面,宜宾燃面	30580,7074,5770,1810,1164
牛角包	面包,吐司面包,排包	653521,16827,16458
尖椒鸡	宫爆鸡丁,酸菜鸡,口味鸡,尖椒兔,小煎鸡	21323,11967,4104,477,0
蚝烙	蚝仔,蚝仔烙	5116,436
盖面	盖饭,盖浇饭,盖浇面,盖浇粉	745755,683053,170148,328
榴芒	芒果杯	2402
猪肺	猪肚,猪心,猪腰,猪舌,猪脑	172234,105790,39645,32852,27063
鲜果切	果盘,千禧果	36724,8664
大葱	圆葱,毛葱,大叶芹	21689,4369,408
鸡脖	鸡胗,鸡心,鸡翅中,鸡架,鸡脆骨	111062,56695,41433,29158,22243
骨肉相连	脆骨,里脊肉,牙签肉,小肉串,牛肉排	179670,88380,8068,5066,2168
卤蛋	卤肉,煎蛋,荷包蛋,卤鸡蛋,卤肉卷	280103,112057,78485,12479,4173
馋嘴蛙	牛蛙,跳跳蛙,跳水蛙	85021,3094,544
松鼠桂鱼	子鱼,杂鱼,蝶鱼,炝锅鱼,松鼠鱼	21555,11996,2843,1098,351
