奶茶	奶绿	182674
鸡爪	凤爪,鸭爪,鸡翅尖,鸡脚,鸡尖	295112,60139,58943,41988,35663
烧饼	火烧,大饼,油饼,饼子,菜煎饼	49801,31848,27162,13386,12070
烤鸡	香酥鸡,原味鸡,烤牛肉,蜜汁鸡,鸡骨	85413,74662,34567,33060,20054
意面	意大利面,意粉,肉酱面,焗面,意饭	61610,33218,14994,5687,1673
冰淇淋	冰激凌,冰激淋,冰淇凌	52755,7541,3957
米饭	焖饭,白饭	14314,8800
绿豆汤	绿豆沙,绿豆粥,豆腐花,银耳汤,红豆汤	23707,13751,11687,10061,6033
珍珠奶茶	奶绿,烤奶,奶冻,珍奶	182674,60013,35255,16574
豆腐脑	绿豆粥,豆脑,豆沫,绿豆稀饭	13751,817,762,94
意大利面	意面,意粉,肉酱面,焗面,意饭	102691,33218,14994,5687,1673
火鸡面	豚骨面	68068
北京烤鸭	香酥鸭,手撕鸭,烤兔,片皮鸭,馋嘴鸭	5541,4598,2333,1792,1287
脆皮鸡	鸡排,炸鸡,鸡排饭,鸡腿肉,鸡扒饭	915116,352513,135196,48182,36372
薯条	薯格,芝士条,薯角,笑脸薯,薯宝	61247,21993,8377,7493,2119
红烧肉	鱼香肉丝,梅菜扣肉,拆骨肉,东坡肉,红焖肉	90141,39680,21107,8233,5766
螺狮粉	米粉,酸辣粉,螺蛳粉,卤粉,干捞粉	470562,165759,89126,19139,5935
卷饼	手抓饼,烧饼,炒饼,大饼,煎饼果子	171126,85499,42811,31848,25989
鱼粉	牛肉粉,花甲粉,渔粉,肥肠粉,鱼煲	69291,33696,27526,17257,13696
蛋挞	葡挞,椰挞	3371,164
羊汤	羊肉汤,羊杂汤,羊骨,全羊,羊杂面	13766,8314,5669,5359,3271
炒年糕	炒面,蛋炒饭,炒米,汤年糕,煮年糕	327849,199599,147203,6098,881
拌面	拉面,削面,炸酱面	344370,168025,80841
春饼	油饼,饼子,焖饼,烙饼,荷叶饼	27162,13386,6216,3842,2679
汤包	小笼包,奶黄包,煎包,鲜肉包,流沙包	48594,24248,21136,17899,15497
焗饭	拌饭,扒饭,蛋包饭,咖喱饭,铁板饭	432950,82240,46663,30649,23859
螃蟹	大闸蟹,梭子蟹,香辣蟹,肉蟹,蟹煲	81389,24704,16872,14024,13854
酸奶	酸牛奶	295917
羊肉串	牛肉串,羊腰,羊腰子,小肉串,生串	26436,13523,5459,5066,685
油泼面	削面,刀削面,凉面,炸酱面,凉拌面	168025,163091,86532,80841,19897
猪脚饭	叉烧饭,鸭腿饭,切鸡饭,咸鸡饭,猪肘饭	39174,22491,17355,1674,1195
四果汤	绿豆汤	39072
煎饺	水饺,蒸饺,生煎,汤饺,煎包	803202,123689,35055,27136,21136
三文鱼	鳗鱼,吞拿鱼,鲷鱼,银鳕鱼,鲑鱼	90315,40167,13198,5596,3585
雪媚娘	雪胖子	860
稀饭	乌饭	299
炒饼	炒饭,炒面,蛋炒饭,卷饼,夹饼	875812,327849,199599,40125,7358
鸡蛋灌饼	手抓饼,卷饼,煎饼果子,菜煎饼,掉渣饼	171126,40125,25989,12070,2562
鸡汤	骨汤,老鸭汤,豆汤,高汤,骨头汤	265313,68416,59880,21723,12526
瘦肉丸	扁肉,卤肉卷,牛丸面	5755,4173,1552
擀面皮	凉皮,凉面,米皮,担担面,酿皮	165465,86532,19253,18706,4638
鸡腿	鸡排,鸡翅,鸡块,香鸡,鸭腿	915116,490792,355475,308065,150670
双皮奶	珍珠奶茶,牛奶冰,奶蜜,姜撞奶,雙皮奶	124509,27352,4833,3666,152
蒸饺	水饺,饺子,煎饺,汤饺,鲜饺	803202,246305,75128,27136,9441
鸡排饭	拌饭,炸鸡,鸡饭,脆皮鸡,牛肉饭	432950,352513,305189,282697,139893
烧鸡	香鸡,焖鸡,辣子鸡,鸡煲,仔鸡	308065,165172,112727,49568,22990
灌汤包	小笼包,煎包,鲜肉包,素包,粉丝包	48594,21136,17899,9072,8133
果汁	橙汁,菠萝汁	277494,15071
羊肉	牛肉,五花肉,羊排,羊杂,驴肉	3887119,326174,81331,73854,47537
螺丝粉	米粉,河粉,酸辣粉,粉面,螺蛳粉	470562,220141,165759,103145,89126
羊肉汤	羊杂汤,羊汤,全羊,羊杂面,羊骨头	8314,8097,5359,3271,3215
椒麻鸡	口水鸡,凉鸡,风干鸡,鸡背,桶子鸡	26283,1463,1294,730,263
鸡翅	鸡腿,鸡排,鸡块,香鸡,烤翅	1024004,915116,355475,308065,181418
盒饭	米饭,盖饭	800333,745755
色拉	沙拉,生菜沙拉	502129,1095
水果茶	鲜果茶	30125
钵钵鸡	口水鸡,棒棒鸡,凉鸡	26283,7032,1463
矿泉水	泉阳泉	12710
鱼香肉丝	红烧肉,回锅肉,梅菜扣肉,鱼香茄子,木须肉	240994,236937,39680,19844,18102
鸭头	鸭胗,猪头肉,鸭爪,鸭架,鸭脚	87689,65479,60139,29039,28257
酱香饼	烧饼,大饼,油饼,饼子,葱油饼	85499,31848,27162,13386,8595
馅饼	猪肉饼,软饼,葱花饼,豆沙饼,手撕饼	7327,3396,2506,2185,1063
菜饭	茄子饭,白饭,白米饭	34394,8800,6710
鸡架	鸡柳,鸡胗,鸡脖,鸡叉,鸡手	284346,111062,28765,12008,9615
牛肉粉	肉面,拌粉,牛腩面,素粉,肥肠粉	714585,44379,22463,18327,17257
生煎包	煎饺,小笼包,奶黄包,汤包,鲜肉包	75128,48594,24248,21388,17899
年糕	鱼糕	2623
牛杂	牛腩,牛肚,牛骨,牛蹄,牛宝	304331,216315,19289,18916,7801
饭包	拌饭,饭团,桶饭	432950,135085,116384
烧腊	烧鸭,烧鹅,叉烧饭	148684,44075,39174
小米粥	南瓜粥,麦粥,红枣粥,绿豆粥,银耳粥	26002,22193,13950,13751,4894
粉丝	土豆粉,细粉,红薯粉,宽粉,苕粉	127115,68282,60354,59960,23028
田螺	螺蛳,田鸡,花螺,香螺,钉螺	103564,45673,15582,13427,11379
口水鸡	钵钵鸡,白斩鸡,盐水鹅,凉鸡,囗水鸡	6415,3474,2920,1463,79
云吞	云面	117
刨冰	冰沙,沙冰,牛奶冰,绵绵冰,冰粥	135464,109619,27352,18847,12039
辣子鸡	仔鸡,宫爆鸡丁,辣子鱼,芋儿鸡,土匪鸡	22990,21323,2416,2245,780
凉粉	冰粉,凉糕	49995,9785
小馄饨	小笼包,馄饨面	48594,8712
羊肉粉	羊杂,牛肉粉,素粉,羊杂面,腌肉面	73854,69291,18327,3271,187
锅盔	锅魁	2093
鳗鱼饭	海鲜饭,青花鱼,茶泡饭,活鳗,亲子饭	5632,3839,723,572,539
田鸡	鸡杂,田螺,仔鸡	131951,51626,22990
全家桶	翅桶	6202
方便面	拉面,刀削面,面条,宽面,辛拉面	344370,163091,112956,39528,36424
白粥	瘦肉粥,菜粥,南瓜粥,绿豆粥,鱼片粥	86580,37807,26002,13751,13286
鸡肉卷	鸡米花,牛肉堡,手扒鸡,双鸡堡,烤全鸡	91063,39358,14503,13485,6248
烩面	削面,刀削面,油泼面,扯面,饸饹面	168025,163091,11522,8947,7484
鸭肠	腊肠,鸭胗,鸭头,鸭肉,鸭心	146589,87689,78287,54511,32719
凉菜	凉拌菜	5565
疙瘩汤	鸡蛋汤,酸辣汤,丸子汤,羊杂汤,拌汤	55706,17247,14885,8314,3769
酱骨头	大骨头,酱大骨,酱脊骨,酱骨架,大骨棒	8590,3929,1661,1325,896
