530581	44736	3105	8.43	0.59	6.94	254	254	1.00	超市	超市
63251	6148	397	9.72	0.63	6.46	254	271	1.07	超市	便利店

23701	2338	330	9.86	1.39	14.11	228	228	1.00	新疆菜	新疆菜

8547282	669554	91940	7.83	1.08	13.73	212	212	1.00	汉堡	汉堡
5468815	401231	51267	7.34	0.94	12.78	212	234	0.87	汉堡	炸鸡炸串

37444	1959	239	5.23	0.64	12.20	269	269	1.00	煲仔饭	煲仔饭

677950	40216	3310	5.93	0.49	8.23	229	229	1.00	日韩料理	日韩料理

64348	3714	416	5.77	0.65	11.20	218	230	0.97	烧烤	西餐
154680	8651	1135	5.59	0.73	13.12	218	211	1.09	烧烤	披萨意面
345217	21596	2321	6.26	0.67	10.75	218	218	1.00	烧烤	烧烤

5647	252	24	4.46	0.43	9.52	266	223	0.80	烧腊饭	东北菜
5808	254	31	4.37	0.53	12.20	266	269	0.98	烧腊饭	煲仔饭
17778	852	96	4.79	0.54	11.27	266	266	1.00	烧腊饭	烧腊饭
17742	1023	78	5.77	0.44	7.62	266	222	0.81	烧腊饭	粤菜
20959	771	120	3.68	0.57	15.56	266	234	1.06	烧腊饭	炸鸡炸串

287144	14857	1698	5.17	0.59	11.43	263	223	1.23	其他菜系	东北菜
1351443	67857	7160	5.02	0.53	10.55	263	221	1.10	其他菜系	川湘菜
327193	19571	2188	5.98	0.67	11.18	263	225	1.40	其他菜系	江浙菜
1563362	70257	7429	4.49	0.48	10.57	263	263	1.00	其他菜系	其他菜系

23321	820	65	3.52	0.28	7.93	268	209	0.82	咖喱饭	盖浇饭
417	31	4	7.43	0.96	12.90	268	264	2.82	咖喱饭	东南亚菜
1201	20	4	1.67	0.33	20.00	268	235	0.97	咖喱饭	鸭脖卤味
1611	67	7	4.16	0.43	10.45	268	269	1.26	咖喱饭	煲仔饭
2341	94	8	4.02	0.34	8.51	268	268	1.00	咖喱饭	咖喱饭
3050	66	10	2.16	0.33	15.15	268	217	0.97	咖喱饭	饺子馄饨
63894	2177	178	3.41	0.28	8.18	268	265	0.82	咖喱饭	简餐

243	15	1	6.17	0.41	6.67	257	254	3.73	粮油	超市

